Country,2015,2024
Australia,7.3,7.1
Austria,6.9,7.2
Belgium,6.9,6.8
Brazil,7,6.1
Canada,7.3,7
Chile,6.7,6.2
Czech Republic,6.5,6.9
Denmark,7.5,7.5
Estonia,5.6,6.5
Finland,7.4,7.9
France,6.5,6.7
Germany,7,7.3
Greece,4.8,5.8
Hungary,4.9,6
Iceland,7.5,7.6
Ireland,7,7
Israel,7.4,7.2
Italy,6,6.5
Japan,5.9,6.1
Korea,5.8,5.8
Luxembourg,6.9,7.4
Mexico,6.7,6
Netherlands,7.3,7.5
New Zealand,7.3,7.3
Norway,7.4,7.3
Poland,5.8,6.1
Portugal,5.1,5.8
Russia,6,5.5
Slovak Republic,6.1,6.5
Slovenia,5.7,6.5
Spain,6.5,6.5
Sweden,7.2,7.3
Switzerland,7.5,7.5
TÃ¼rkiye,5.6,4.9
United Kingdom,6.8,6.8
United States,7.2,7